Using specified temperature=1.000000 and density=3.800000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.800, Temperature=  1.000
Density=  6.393 (gm/cm^3)  Temperature=119.400 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  137948365567.24463 91965135802.5309 156393440512652509184.0000 661863.4483 728883179.8932 349477578618.7706 594295073959158480896.0000
      40  7316995871151210.00000 4877997192844707.0000 28205487491411412031666913280.0000 81884149.4174 3178765486587.0298 18536390577462652.0000 107180852467363418496892403712.0000
      60  264.44370  141.1574 18803663627335169494491332608.0000   52.7076 2121194035634.1926 1518.8266 71453921783873674425587990528.0000
      80  724850.22993 482046.1176 14102747720501375471601057792.0000 1781.0535 1590895526947.0483 1859063.4752 53590441337905253620167737344.0000
     100  3818216263233361.00000 2545477468392426.0000 11586985750029109319113375744.0000 60644721.9116 1512817568818.3730 9672815301702626.0000 44030545850110636083449430016.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  11602174859302926336.00000 7734783239535284224.0000 4346594497126730240.0000  275.4780 465200871.6003 29392176310234083328.0000 16517059096152651776.0000
      40  11602174859758555136.00000 7734783239839036416.0000 6040688868416166912.0000  -14.7802 232604575.9645 29392176311388336128.0000 22954617703517036544.0000
      60  11602174859960877056.00000 7734783239973917696.0000 6605386992251315200.0000  -16.6649 155069711.6782 29392176311900884992.0000 25100470572912062464.0000
      80  11602174859960877056.00000 7734783239973917696.0000 6887736054181965824.0000  -17.1207 116302279.4787 29392176311900884992.0000 26173397007659270144.0000
     100  11602174860834340864.00000 7734783240556227584.0000 7057145491405664256.0000  -17.0738 93043805.8560 29392176314113662976.0000 26817152868755795968.0000
     120  11602174860834340864.00000 7734783240556227584.0000 7170085116264091648.0000  -17.0450 77536502.0370 29392176314113662976.0000 27246323442982105088.0000
     140  11602174860834521088.00000 7734783240556346368.0000 7250756276877261824.0000 1050.8399 66459932.7266 29392176314114129920.0000 27552873853143789568.0000
     160  11602174860835887104.00000 7734783240557257728.0000 7311259647337262080.0000  -17.1115 58152438.9968 29392176314117578752.0000 27782786660765515776.0000
     180  11602174860835887104.00000 7734783240557257728.0000 7358317824361705472.0000  -17.0502 51691054.9877 29392176314117578752.0000 27961607733360185344.0000
     200  11602174860835887104.00000 7734783240557257728.0000 7395964365981260800.0000  -17.1038 46521947.7782 29392176314117578752.0000 28104664591435927552.0000
     220  11602174860845256704.00000 7734783240563504128.0000 7426766081852124160.0000  -17.1371 42292788.8683 29392176314141315072.0000 28221711111680925696.0000
     240  11602174860845256704.00000 7734783240563504128.0000 7452434178411406336.0000  -17.1159 38768388.3852 29392176314141315072.0000 28319249878552625152.0000
     260  11602174860845256704.00000 7734783240563504128.0000 7474153337038491648.0000  -16.8121 35786203.3561 29392176314141315072.0000 28401782681290219520.0000
     280  11602174860845256704.00000 7734783240563504128.0000 7492769758718850048.0000  -16.8862 33230044.7621 29392176314141315072.0000 28472525083636727808.0000
     300  11602174860845256704.00000 7734783240563504128.0000 7508903990841826304.0000   -7.4156 31014707.6708 29392176314141315072.0000 28533835165670367232.0000
     320  11602174860870553600.00000 7734783240580369408.0000 7523021443950019584.0000  282.3734 29076416.8742 29392176314205405184.0000 28587481487452037120.0000
     340  11602174860870643712.00000 7734783240580428800.0000 7535478020222398464.0000    0.9345 27366038.9347 29392176314205626368.0000 28634816477261078528.0000
     360  11693523641562847232.00000 7795682427708564480.0000 7548242176551403520.0000  -17.1115 25845702.4959 29623593225292541952.0000 28683320271288188928.0000
     380  11693523641562859520.00000 7795682427708572672.0000 7561265347664937984.0000  229.7378 24485407.9600 29623593225292578816.0000 28732808321498943488.0000
     400  11693523641562918912.00000 7795682427708612608.0000 7572986201667121152.0000  -17.1115 23261136.7064 29623593225292726272.0000 28777347566688628736.0000
     420  11693523641562918912.00000 7795682427708612608.0000 7583590783859571712.0000  -17.1204 22153462.7604 29623593225292726272.0000 28817644979003105280.0000
     440  11693523641562970112.00000 7795682427708646400.0000 7593231313125438464.0000  -17.1115 21146486.4026 29623593225292853248.0000 28854278990198091776.0000
     460  11693523641562970112.00000 7795682427708646400.0000 7602033535498620928.0000  -17.1115 20227073.2063 29623593225292853248.0000 28887727435202207744.0000
     480  11693523641562970112.00000 7795682427708646400.0000 7610102239340706816.0000  -17.1115 19384277.7763 29623593225292853248.0000 28918388509789327360.0000
     500  11693523718730758144.00000 7795682479153839104.0000 7617525448933231616.0000  -17.1115 18608905.9808 29623593420784586752.0000 28946596706229133312.0000
Average temperature=7617525448933231616.000000 (909532538602627923968.000000 K)
Average pressure=28946596706229133312.000000
Diffusion constant from vel autocorr=12386811307597015040.000000 (reduced units)
Diffusion constant from vel autocorr=665914975896415502336.000000 (x10-5 cm^2/sec)
Equilibration time=0.004 minutes
Production time=0.031 minutes
Total run time=0.035 minutes
