Using specified temperature=1.200000 and density=3.800000
WARNING--MaxStep is less than diffmax (1000)
Turning off diffusion calculation
Molecular Dynamics for 108 LJ Atoms
Using Temperature scaling during equilibration
Fixed Density with truncated potential
Density=  3.800, Temperature=  1.200
Density=  6.393 (gm/cm^3)  Temperature=143.280 (K)
Timestep= 0.004
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  29011616662187204608.00000 19341077772291641344.0000 3181393808162309013504.0000 3749744955.5152 3131795504.3956 73496095591704444928.0000 12089296471064376770560.0000
      40  638911073.09745 425888612.6592 1594523682807162863616.0000 78154.1086 1565913136.1393 1619565875.7611 6059189994691020980224.0000
      60  33827350973587.17578 22551562744239.3477 1063015802327893803008.0000 6857228.1516 1044273430.7267 85696042662186.6250 4039460048861869375488.0000
      80  45325.99577 29717.1689 797261853976920719360.0000  750.2424 783205267.1349 124567.0550 3029595045124203610112.0000
     100  107085333.68835 71375825.3883 728423658223815229440.0000 21595.6059 859930411.9806 271556824.0710 2768009901263568764928.0000
Starting Production run
    Step   Etotal       Temp    <Temp>    Epot     <Epot>     Press    <Press>
      20  918902800.05748 612597121.9731 607846703.1223 7117.0978 3629.7804 2327977531.0626 2309872890.0479
      40  1627290082813.85889 1084860055178.7240 542733950874.5940   45.7729 1822.0555 4122468210538.8281 2062389041219.6477
      60  47255731462168.28125 31503820974790.2812 6452103944176.9893  -17.1368 494411.6030 119714519704091.8281 24518002503540.7305
      80  47255731491734.67969 31503820994501.1992 12715033204573.8066  -17.1205 370826.1451 119714519778993.2500 48317131814436.5625
     100  47255732329775.32031 31503821553194.9414 16472790818428.8848  -17.0956 296657.5016 119714521902030.0938 62596609619652.5938
     120  47255732573642.49219 31503821715773.0664 18977962634652.9102  -17.1115 247211.7367 119714522519826.3594 72116261769681.6406
     140  47255732582127.71875 31503821721380.5586 20767371075213.4766   56.8860 211898.6682 119714522542272.8906 78916013307020.8750
     160  47255738250286.88281 31503825500201.5781 22109427878336.7930  -15.4845 185409.3083 119714536900681.4531 84015828756226.2812
     180  47255738250644.10938 31503825500440.8125 23153249836357.8867  -17.1115 164806.5651 119714536901563.7969 87982351883525.3125
     200  47255738284410.40625 31503825522950.8320 23988307405017.3125  -15.8468 148324.2607 119714536987122.8906 91155570393884.5312
     220  47255738300626.14062 31503825533762.1680 24671536325482.1094  -17.1115 134842.8688 119714537028184.9531 93751840086721.4062
     240  47255738300626.14062 31503825533762.1680 25240893759505.4492  -17.1115 123604.5371 119714537028184.9531 95915398165176.7031
     260  47255738300626.14062 31503825533762.1680 25722657742140.5781  -17.1115 114095.1796 119714537028184.9531 97746101154638.8750
     280  47255738300626.11719 31503825533762.1680 26135598298684.9727  -17.1297 105944.3010 119714537028184.9375 99315275145606.4219
     300  47255738302240.50781 31503825534838.4023 26493480114392.6602  -17.0960 98880.2209 119714537032275.2500 100675225937914.9219
     320  47255738302240.57031 31503825534837.9102 26806626703168.5938  -16.2932 92699.1655 119714537032286.6719 101865182881305.5781
     340  47255738304751.21875 31503825536512.1719 27082932516851.0117  -17.0410 87246.9823 119714537038636.5781 102915144890420.8125
     360  47255738304622.29688 31503825536426.2695 27328537684607.0898  -17.1115 82399.1467 119714537038308.5312 103848444454202.2812
     380  47294258840874.25000 31529505893908.2969 27549641271562.6914   11.8067 78062.2097 119812122397187.8125 104688638018708.1406
     400  47294258844108.30469 31529505896083.6094 27748634502740.8477  -17.1115 74158.2438 119812122405006.4219 105444812237841.0938
     420  47294258844581.73438 31529505896376.6367 27928675997668.9102   16.7823 70626.8911 119812122406644.1562 106128969864887.9688
     440  47294258852159.73438 31529505901451.2305 28092350084204.4688  -17.1115 67415.8000 119812122425403.3906 106750931344911.3906
     460  47294259278438.78906 31529506185637.2656 28241791647654.0273  -17.1115 64483.9343 119812123505310.3125 107318809241452.5156
     480  47294259278438.78906 31529506185637.2656 28378779753403.3320  -17.1115 61796.3907 119812123505310.3125 107839364002446.5938
Traceback (most recent call last):
  File "/home/hel/lehre/chem260_computing_25/SCRIPT/07_gnuplot_misc/FILES/MDSS.py", line 978, in <module>
    asystem.velautoupdate()
  File "/home/hel/lehre/chem260_computing_25/SCRIPT/07_gnuplot_misc/FILES/MDSS.py", line 843, in velautoupdate
    iatom.velautoupdate()
  File "/home/hel/lehre/chem260_computing_25/SCRIPT/07_gnuplot_misc/FILES/MDSS.py", line 178, in velautoupdate
    self.velautocorr[self.velautolen-icount]+=ivel.dot(self.vel)
  File "/home/hel/lehre/chem260_computing_25/SCRIPT/07_gnuplot_misc/FILES/MDSS.py", line 80, in dot
    def dot(self,apoint):
KeyboardInterrupt
